location,cause,year,val
Afghanistan,Cardiovascular diseases,2017,4892.610953
Afghanistan,Cardiovascular diseases,2018,4847.150766
Afghanistan,Cardiovascular diseases,2019,4827.541587
Afghanistan,Cardiovascular diseases,2020,4748.936646
Afghanistan,Cardiovascular diseases,2021,4653.778761
Afghanistan,Chronic respiratory diseases,2017,883.0898146
Afghanistan,Chronic respiratory diseases,2018,861.4355277
Afghanistan,Chronic respiratory diseases,2019,847.8942905
Afghanistan,Chronic respiratory diseases,2020,828.8105539
Afghanistan,Chronic respiratory diseases,2021,813.1778262
Afghanistan,Diabetes and kidney diseases,2017,1338.869186
Afghanistan,Diabetes and kidney diseases,2018,1358.602133
Afghanistan,Diabetes and kidney diseases,2019,1384.599687
Afghanistan,Diabetes and kidney diseases,2020,1400.242403
Afghanistan,Diabetes and kidney diseases,2021,1407.701432
Afghanistan,Digestive diseases,2017,926.2158363
Afghanistan,Digestive diseases,2018,911.246736
Afghanistan,Digestive diseases,2019,909.4967557
Afghanistan,Digestive diseases,2020,889.9026218
Afghanistan,Digestive diseases,2021,864.1094098
Afghanistan,Enteric infections,2017,2088.256979
Afghanistan,Enteric infections,2018,1769.467005
Afghanistan,Enteric infections,2019,1646.588545
Afghanistan,Enteric infections,2020,1481.733295
Afghanistan,Enteric infections,2021,1313.561814
Afghanistan,HIV/AIDS and sexually transmitted infections,2017,152.2910573
Afghanistan,HIV/AIDS and sexually transmitted infections,2018,151.3683571
Afghanistan,HIV/AIDS and sexually transmitted infections,2019,149.003178
Afghanistan,HIV/AIDS and sexually transmitted infections,2020,143.7013517
Afghanistan,HIV/AIDS and sexually transmitted infections,2021,132.1957587
Afghanistan,Maternal and neonatal disorders,2017,6423.08522
Afghanistan,Maternal and neonatal disorders,2018,6249.122316
Afghanistan,Maternal and neonatal disorders,2019,6050.25908
Afghanistan,Maternal and neonatal disorders,2020,5794.075795
Afghanistan,Maternal and neonatal disorders,2021,5591.016961
Afghanistan,Mental disorders,2017,1944.648427
Afghanistan,Mental disorders,2018,1947.782754
Afghanistan,Mental disorders,2019,1950.878318
