country,pm25
Bangladesh,76.9
Chad,75.9
Pakistan,66.8
Tajikistan,59.4
India,58.1
Oman,53.9
Kyrgyzstan,50.8
Bahrain,49.8
Iraq,49.7
Nepal,46.0
Sudan,44.1
Uzbekistan,42.8
Qatar,38.2
Afghanistan,37.5
United Arab Emirates,36.0
Montenegro,35.2
Indonesia,34.3
Nigeria,34.0
Armenia,33.9
Mongolia,33.1
Saudi Arabia,32.7
China Mainland,32.6
Kazakhstan,31.1
Iran,30.3
Kuwait,29.7
Peru,29.6
Egypt,29.1
Bosnia Herzegovina,27.8
Uganda,27.6
Ghana,25.9
Myanmar,25.9
Lebanon,25.7
Serbia,25.5
North Macedonia,25.4
Croatia,25.3
Vietnam,24.7
Ethiopia,23.9
Syria,23.0
South Africa,22.7
Chile,21.7
Laos,21.5
Georgia,21.0
Madagascar,21.0
Turkmenistan,20.4
Thailand,20.2
Turkey,20.0
Algeria,20.0
Cambodia,19.8
Guatemala,19.5
Malaysia,19.4
Mexico,19.3
South Korea,19.1
Poland,19.1
Greece,19.0
Israel,18.7
Ukraine,18.5
Azerbaijan,17.6
Sri Lanka,17.4
Macao SAR,17.0
Bulgaria,16.3
Taiwan,16.2
Slovakia,16.0
Hong Kong SAR,15.9
Philippines,15.6
Hungary,15.5
Romania,15.3
Italy,15.2
Cyprus,14.8
Kosovo,14.7
Kenya,14.3
Uruguay,14.2
Colombia,14.1
Czech Republic,13.9
Singapore,13.8
Brazil,13.6
Malta,13.5
Slovenia,13.3
Lithuania,13.2
Albania,12.5
Russia,12.3
Honduras,11.8
Belgium,11.5
Austria,11.4
France,11.4
Netherlands,11.3
Angola,11.0
Switzerland,10.8
Spain,10.7
Germany,10.6
USA,10.3
Denmark,9.6
Japan,9.1
Luxembourg,9.0
United Kingdom,8.8
Canada,8.5
Ecuador,8.4
Argentina,8.2
Ireland,8.0
Costa Rica,7.8
Norway,7.5
Andorra,7.3
Liechtenstein,7.2
Trinidad and Tobago,7.1
Portugal,7.1
New Zealand,6.8
Sweden,6.6
Iceland,6.1
Estonia,5.9
Australia,5.7
Bahamas,5.5
Grenada,5.5
Finland,5.5
Saba,5.1
Cape Verde,5.1
Puerto Rico,4.8
U.S. Virgin Islands,4.5
New Caledonia,3.8
