Current health expenditure (% of GDP),Afghanistan,AFG,21.508461
Current health expenditure (% of GDP),Africa Eastern and Southern,AFE,6.044467856
Current health expenditure (% of GDP),Africa Western and Central,AFW,4.152318805
Current health expenditure (% of GDP),Albania,ALB,7.39913177
Current health expenditure (% of GDP),Algeria,DZA,5.0110569
Current health expenditure (% of GDP),American Samoa,ASM,..
Current health expenditure (% of GDP),Andorra,AND,8.33450699
Current health expenditure (% of GDP),Angola,AGO,3.09277129
Current health expenditure (% of GDP),Antigua and Barbuda,ATG,4.99196768
Current health expenditure (% of GDP),Arab World,ARB,5.279890283
Current health expenditure (% of GDP),Argentina,ARG,10.03832245
Current health expenditure (% of GDP),Armenia,ARM,12.32268524
Current health expenditure (% of GDP),Aruba,ABW,..
Current health expenditure (% of GDP),Australia,AUS,10.42525291
Current health expenditure (% of GDP),Austria,AUT,12.15228558
Current health expenditure (% of GDP),Azerbaijan,AZE,4.68526697
Current health expenditure (% of GDP),"Bahamas, The",BHS,7.0057478
Current health expenditure (% of GDP),Bahrain,BHR,4.49223804
Current health expenditure (% of GDP),Bangladesh,BGD,2.36551309
Current health expenditure (% of GDP),Barbados,BRB,7.93866014
Current health expenditure (% of GDP),Belarus,BLR,6.56549978
Current health expenditure (% of GDP),Belgium,BEL,11.04724503
Current health expenditure (% of GDP),Belize,BLZ,5.05842113
Current health expenditure (% of GDP),Benin,BEN,2.58129549
Current health expenditure (% of GDP),Bermuda,BMU,..
Current health expenditure (% of GDP),Bhutan,BTN,3.0729053
Current health expenditure (% of GDP),Bolivia,BOL,8.159729
Current health expenditure (% of GDP),Bosnia and Herzegovina,BIH,9.55514336
Current health expenditure (% of GDP),Botswana,BWA,6.30754805
Current health expenditure (% of GDP),Brazil,BRA,9.63646507
Current health expenditure (% of GDP),British Virgin Islands,VGB,..
Current health expenditure (% of GDP),Brunei Darussalam,BRN,2.14642429
Current health expenditure (% of GDP),Bulgaria,BGR,8.61892796
Current health expenditure (% of GDP),Burkina Faso,BFA,6.40747881
Current health expenditure (% of GDP),Burundi,BDI,8.99484253
Current health expenditure (% of GDP),Cabo Verde,CPV,7.316607
Current health expenditure (% of GDP),Cambodia,KHM,5.51976061
Current health expenditure (% of GDP),Cameroon,CMR,4.30539274
Current health expenditure (% of GDP),Canada,CAN,12.41920948
Current health expenditure (% of GDP),Caribbean small states,CSS,6.544941433
Current health expenditure (% of GDP),Cayman Islands,CYM,..
Current health expenditure (% of GDP),Central African Republic,CAF,9.15270615
Current health expenditure (% of GDP),Central Europe and the Baltics,CEB,7.438134351
Current health expenditure (% of GDP),Chad,TCD,4.17851543
Current health expenditure (% of GDP),Channel Islands,CHI,..
Current health expenditure (% of GDP),Chile,CHL,9.68593311
Current health expenditure (% of GDP),China,CHN,5.38360548
Current health expenditure (% of GDP),Colombia,COL,9.01772404
Current health expenditure (% of GDP),Comoros,COM,6.43369246
Current health expenditure (% of GDP),"Congo, Dem. Rep.",COD,3.67749357
Current health expenditure (% of GDP),"Congo, Rep.",COG,3.49339676
Current health expenditure (% of GDP),Costa Rica,CRI,7.61130476
Current health expenditure (% of GDP),Cote d'Ivoire,CIV,3.76207662
Current health expenditure (% of GDP),Croatia,HRV,8.01351929
Current health expenditure (% of GDP),Cuba,CUB,13.78727913
Current health expenditure (% of GDP),Curacao,CUW,..
Current health expenditure (% of GDP),Cyprus,CYP,9.47552109
Current health expenditure (% of GDP),Czechia,CZE,9.45247459
Current health expenditure (% of GDP),Denmark,DNK,10.74728584
Current health expenditure (% of GDP),Djibouti,DJI,2.88669515
Current health expenditure (% of GDP),Dominica,DMA,6.31661367
Current health expenditure (% of GDP),Dominican Republic,DOM,4.91807747
Current health expenditure (% of GDP),Early-demographic dividend,EAR,5.074445751
Current health expenditure (% of GDP),East Asia & Pacific,EAS,6.770504256
Current health expenditure (% of GDP),East Asia & Pacific (excluding high income),EAP,5.261445642
Current health expenditure (% of GDP),East Asia & Pacific (IDA & IBRD countries),TEA,5.261605546
Current health expenditure (% of GDP),Ecuador,ECU,8.20646191
Current health expenditure (% of GDP),"Egypt, Arab Rep.",EGY,4.60955143
Current health expenditure (% of GDP),El Salvador,SLV,10.12668991
Current health expenditure (% of GDP),Equatorial Guinea,GNQ,3.39468098
Current health expenditure (% of GDP),Eritrea,ERI,4.17839003
Current health expenditure (% of GDP),Estonia,EST,7.47860336
Current health expenditure (% of GDP),Eswatini,SWZ,7.38329172
Current health expenditure (% of GDP),Ethiopia,ETH,3.2075386
Current health expenditure (% of GDP),Euro area,EMU,11.23585607
Current health expenditure (% of GDP),Europe & Central Asia,ECS,10.40787335
Current health expenditure (% of GDP),Europe & Central Asia (excluding high income),ECA,5.717847581
Current health expenditure (% of GDP),Europe & Central Asia (IDA & IBRD countries),TEC,6.457490073
Current health expenditure (% of GDP),European Union,EUU,10.86994787
Current health expenditure (% of GDP),Faroe Islands,FRO,..
Current health expenditure (% of GDP),Fiji,FJI,7.06084681
Current health expenditure (% of GDP),Finland,FIN,9.83458328
Current health expenditure (% of GDP),Fragile and conflict affected situations,FCS,5.175243546
Current health expenditure (% of GDP),France,FRA,12.29229355
